Handle,Title,Vendor,Type,Variant Barcode,Variant Price,Variant Weight,Variant Weight Unit,Google Shopping / MPN,Variant Grams,Body (HTML),Image Src
N2S4394,NS2 Mario Tennis Fever,Nintendo,Nintendo Switch 2 Games,45496313616,,"0,05",,N2S4394,,Nintendo Switch 2 game,https://com.cqe.cz/gallery/1_65582/ns2-mario-tennis-fever-default.jpg
N2S6835,NS2 Street Fighter 6 Years 1-2 Fighters Edition,Nintendo,Nintendo Switch 2 Games,45496312428,,"0,06",,N2S6835,,"<p>Experience the next evolution of Street Fighter in Street Fighter 6 with three distinct game modes, new gameplay features, and enhanced visuals. Fight your way to the top with new game modes exclusive to Nintendo Switch 2 like Local Wireless One on One and Avatar Matches. Enjoy new party modes utilising Joy-Con 2 controllers like Gyro Battle and Calorie Contest.&nbsp;&nbsp;</p>

<p>Street Fighter 6 Years 1-2 Fighter Edition is launching on June 5th 2025 on Nintendo Switch 2.</p>",https://com.cqe.cz/gallery/1_64315/ns2-street-fighter-6-years-1-2-fighters-edition-default.jpg
N2S5674,NS2 Pokémon Pokopia,Nintendo,Nintendo Switch 2 Games,45496313821,,"0,05",,N2S5674,,,https://com.cqe.cz/gallery/1_67051/ns2-pokemon-pokopia-default.jpg
N2S5670,NS2 Pokémon Legends: Z-A,Nintendo,Nintendo Switch 2 Games,45496313043,,"0,06",,N2S5670,,Game for Nintendo Switch 2,https://com.cqe.cz/gallery/1_64964/ns2-pokemon-legends-z-a-default.jpg
N2S4444,NS2 Metroid Prime 4: Beyond,Nintendo,Nintendo Switch 2 Games,45496313371,,"0,05",,N2S4444,,,https://com.cqe.cz/gallery/1_66069/ns2-metroid-prime-4-beyond-default.jpg
N2S7033,NS2 The Legend of Zelda: Tears of the Kingdom,Nintendo,Nintendo Switch 2 Games,45496312572,,"0,05",,N2S7033,,"<p><strong>Your epic adventure is now enhanced for Nintendo Switch 2</strong></p>

<p>The Legend of Zelda: Tears of the Kingdom – Nintendo Switch 2 Edition features:</p>

<ul>
	<li>Enhanced resolution, improved textures and HDR support</li>
	<li>Smoother frame rates</li>
	<li>Faster load times</li>
	<li>Additional save slot</li>
	<li>Compatible with ZELDA NOTES via the Nintendo Switch App for compatible smart devices</li>
</ul>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/FiLoePc9tds?si=oZW1kw-IWeLl3Rcf"" title=""YouTube video player"" width=""560""></iframe></p>

<p><em>The Legend of Zelda: Tears of the Kingdom – Nintendo Switch 2 Edition is playable only on Nintendo Switch 2. If you already own The Legend of Zelda: Tears of the Kingdom for Nintendo Switch, you can purchase the Upgrade Pack to play the Nintendo Switch 2 Edition.</em></p>

<p>In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?</p>

<p><strong>Explore the land, sky, and depths of Hyrule like never before on Nintendo Switch 2</strong></p>

<p>With higher resolution, improved frame rates, and HDR support, the expansive world of Hyrule has never looked better.</p>

<p><strong>Faster loading times</strong></p>

<p>With quicker loading times, you can travel around Hyrule faster than ever.</p>

<p><strong>Additional save slot</strong></p>

<p>With two save files, you can start a brand new adventure or continue a previous one with your existing save data.</p>

<p><em>Nintendo Switch 2 Edition cannot be transferred to The Legend of Zelda: Tears of the Kingdom on Nintendo Switch.</em></p>

<p><strong>Get even more out of your adventure with ZELDA NOTES</strong></p>

<p>Find your way with voiced navigation and insights from characters like Princess Zelda, as well as additional features to support your adventures in Hyrule.</p>

<p><em>A compatible smart device is required. Internet connection fees may apply. The current Nintendo Switch Online app will be renamed to the Nintendo Switch App in late May 2025. A Nintendo Switch Online membership is not required to use ZELDA NOTES.</em></p>

<p><strong>The Legend of Zelda: Tears of the Kingdom – Nintendo Switch 2 Edition will be available on June 5th 2025 for Nintendo Switch 2.</strong></p>",https://com.cqe.cz/gallery/1_64842/ns2-the-legend-of-zelda-tears-of-the-kingdom-default.jpg
N2S8446,NS2 Xenoblade Chronicles X: Definitive Edition,Nintendo,Nintendo Switch 2 Games,45496314019,,"0,05",,N2S8446,,,https://com.cqe.cz/gallery/1_67000/ns2-xenoblade-chronicles-x-definitive-edition-default.jpg
N2S7027,NS2 The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo Switch 2 Games,45496312664,,"0,05",,N2S7027,,"<p><strong>Your epic adventure is now enhanced for Nintendo Switch 2</strong></p>

<p>The Legend of Zelda: Breath of the Wild Nintendo Switch 2 Edition features:</p>

<ul>
	<li>Enhanced resolution, improved textures and HDR support</li>
	<li>Smoother frame rates</li>
	<li>Faster load times</li>
	<li>Additional save slot</li>
	<li>Compatible with ZELDA NOTES via the Nintendo Switch App for compatible smart device​​</li>
</ul>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/FiLoePc9tds?si=pmNpba-cdsx_SYoX"" title=""YouTube video player"" width=""560""></iframe></p>

<p><em>The Legend of Zelda: Breath of the Wild – Nintendo Switch 2 Edition is playable only on Nintendo Switch 2. If you already own The Legend of Zelda: Breath of the Wild for Nintendo Switch, you can purchase the Upgrade Pack to play the Nintendo Switch 2 Edition.</em></p>

<p>No kingdom. No memories. After a 100-year slumber, Link wakes up alone in a world he no longer remembers. Now the legendary hero must explore a vast and dangerous land and regain his memories before Hyrule is lost forever.</p>

<p><strong>Explore an even more breathtaking Hyrule on Nintendo Switch 2</strong></p>

<p>With higher resolution, improved frame rates, and HDR support, the expansive world of Hyrule has never looked better.</p>

<p><strong>Faster loading times</strong></p>

<p>With quicker loading times, you can travel around Hyrule faster than ever.</p>

<p><strong>Additional save slot</strong></p>

<p>With two save files, you can start a brand new adventure or continue a previous one with your existing save data.</p>

<p><em>Nintendo Switch 2 Edition cannot be transferred to The Legend of Zelda: Breath of the Wild on Nintendo Switch.</em></p>

<p><strong>Get even more out of your adventure with ZELDA NOTES</strong></p>

<p>Find your way with voiced navigation and insights from characters like Princess Zelda, as well as additional features to support your adventures in Hyrule.</p>

<p><em>A compatible smart device is required. Internet connection fees may apply. The current Nintendo Switch Online app will be renamed to the Nintendo Switch App in late May 2025. A Nintendo Switch Online membership is not required to use ZELDA NOTES.</em></p>

<p><strong>The Legend of Zelda: Breath of the Wild – Nintendo Switch 2 Edition will be available on June 5th 2025 for Nintendo Switch 2.</strong></p>",https://com.cqe.cz/gallery/1_64843/ns2-the-legend-of-zelda-breath-of-the-wild-default.jpg
N2S6846,NS2 Super Mario Bros. Wonder+Meetup in Bellabel p.,Nintendo,Nintendo Switch 2 Games,45496313913,,"0,05",,N2S6846,,Game for Nintendo Switch 2,https://com.cqe.cz/gallery/1_66752/ns2-super-mario-bros-wonder-meetup-in-bellabel-p-default.jpg
N2S6850,NS2 Super Mario Party Jamboree + Jamboree TV,Nintendo,Nintendo Switch 2 Games,45496312855,,"0,05",,N2S6850,,"<p><strong>Super-charged celebration for Nintendo Switch 2</strong></p>

<p>Super Mario Party Jamboree + Jamboree TV Nintendo Switch 2 Edition will offer:</p>

<ul>
	<li>Jamboree TV, enhanced graphics and frame rate</li>
	<li>Super Mario Party Jamboree</li>
</ul>

<p><em>Super Mario Party Jamboree – Nintendo Switch 2 Edition + Jamboree TV can only be played on Nintendo Switch 2.</em></p>

<p><em>If you already own Super Mario Party Jamboree for Nintendo Switch, you can purchase the Upgrade Pack to play the Nintendo Switch 2 Edition.</em></p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/aBx4iyx2LAA?si=9pBOClWZ1WeGUczC"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Super Mario Party Jamboree charges up Nintendo Switch 2!</strong></p>

<p><strong>Camera ready!</strong></p>

<p>Connect the Nintendo Switch 2 camera or another compatible USB-C camera to your Nintendo Switch 2 console and get everyone involved in the game.</p>

<p><strong>Immerse yourself in the game with CameraPlay</strong></p>

<p>The CameraPlay feature brings players' faces into the action during mini-games and when viewing the game board. Plus, it can capture players' movements and allow full-body motion control in selected mini-games!</p>

<p><em>Compatible only in selected modes. Camera mini-games in Bowser Live require a compatible USB-C camera.</em></p>

<p><strong>Smooth mouse control</strong></p>

<p>By placing the Joy-Con 2 controller on its side, it can be used as a mouse in compatible modes. Slide and click without any problems!</p>

<p>Additionally, thanks to the HD rumble 2 function, you'll feel even more realistic feedback through the controller.</p>

<p><strong>Shout into the microphone!</strong></p>

<p>Using the built-in microphone of the Nintendo Switch 2 console, you can control the action by clapping or using your voice in selected modes.</p>

<p><strong>You're a contestant in Jamboree TV!</strong></p>

<p>Jamboree TV is a new way of playing based on audience participation! Mario and his friends will tackle various challenges here. Let the games begin!</p>

<p><strong>Even MORE mini-games!</strong></p>

<p>Enjoy 20 new mini-games with support for mouse control in Joy-Con 2, HD rumble 2, and the built-in microphone of the console. Some mini-games can be played by connecting a compatible USB-C camera.</p>

<p><em>Some mini-games cannot be played in Jamboree TV mode. To play the original game, select Super Mario Party Jamboree on the title screen.</em></p>

<p><strong>All together, anytime, anywhere</strong></p>

<p>Using the GameChat feature, you can play as if everyone were in the same room, regardless of distance.</p>

<p>If you connect a compatible USB-C camera, some modes even allow you to insert your face into the game along with fun special effects!</p>

<p><strong>GameShare with friends</strong></p>

<p>If you already own a Nintendo Switch 2 and Super Mario Party Jamboree – Nintendo Switch 2 Edition + Jamboree TV, you can share part of the game with anyone who has a Nintendo Switch or Nintendo Switch 2 using the GameShare service.</p>

<p><strong>The party has never looked better!</strong></p>

<p>Nintendo Switch 2 Edition supports resolution up to WQHD (1440p) in TV mode and Full HD (1080p) resolution in handheld and tabletop modes. Enjoy the world of Mario Party with greater detail and smoothness!</p>

<p><strong>Super Mario Party Jamboree + Jamboree TV releases on July 24, 2025 for Nintendo Switch 2.</strong></p>",https://com.cqe.cz/gallery/1_64248/ns2-super-mario-party-jamboree-jamboree-tv-default.jpg
N2H001,Nintendo Switch 2,Nintendo,Nintendo Switch 2 console,45496321444,,"1,65",,N2H001,,"<p><strong>The next evolution of Nintendo Switch is here!</strong></p>

<p>Bring games to life with a larger 1080p screen – or connect the console to a TV and play in up to 4K resolution. Nintendo Switch 2 offers support for HDR, VRR, and frame rates of 120 frames per second.</p>

<p>The Joy-Con 2 controllers now snap into place using magnetic connectors. Each controller can even be used as a mouse in compatible games.</p>

<p>Play brand new games – such as Mario Kart World – only on Nintendo Switch 2. Additionally, you can play compatible titles from the Nintendo Switch console.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/6kMa-whgchU?si=QYxKHaZoVJ9Xrmid"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>All together, anytime, anywhere</strong></p>

<p>Say ""hello"" to the GameChat feature. With the press of a button, you can start chatting with friends anytime. Talk to them while showing them what you're playing. And for an even more personal experience, connect a camera to your Nintendo Switch 2 or another compatible USB-C camera (sold separately).</p>

<p><strong>GameShare</strong></p>

<p>Applies only to local wireless play: Share your games in person. Using the GameShare service on Nintendo Switch 2, you can share compatible games with anyone who has a Nintendo Switch or Nintendo Switch 2. Everyone can play the game, even if they don't own a copy.</p>

<p><strong>New dock</strong></p>

<p>Use the included dock to connect Nintendo Switch 2 to your TV and enjoy 4K resolution for even greater detail.</p>

<p><strong>Smooth mouse control</strong></p>

<p>The optical sensor on the side of each Joy-Con 2 controller allows for mouse control on various surfaces such as a table or even your lap.</p>

<p>Both Joy-Con 2 controllers can be used simultaneously for mouse control, opening up new gameplay possibilities – for example, use both hands to control two mouse controllers at the same time.</p>

<p><strong>Larger screen, same thickness</strong></p>

<p>Enjoy gaming even more with a 7.9-inch display that allows you to experience smooth gameplay anytime, anywhere. Play with greater detail and brightness thanks to the high-resolution LCD display, HDR support, and up to 120 frames per second.</p>

<p><strong>New stand with freely adjustable viewing angle</strong></p>

<p>Place your Nintendo Switch console anywhere you want in tabletop mode thanks to a larger and more stable stand. The adjustment of up to 150 degrees offers the freedom to choose a comfortable angle for your gaming. This improved stand will be perfect for multiplayer gaming!</p>

<p>The top of the console now includes a USB-C port, complementing the one already on the bottom of the console. Connect the included power adapter and play in tabletop mode while the console charges.</p>

<p><strong>Connecting Joy-Con 2 controllers... in an instant</strong></p>

<p>Meet the new Joy-Con 2 controllers, which connect and disconnect easily. Thanks to strong magnets, the controllers are firmly attached to the console. Just press the release button on the back, and the magnetic lock will disconnect in a flash.</p>

<p><strong>Show off your gaming face</strong></p>

<p>Connect a compatible USB-C camera, such as the Nintendo Switch 2 camera (sold separately), and you can video chat and see other players' faces while playing. Up to four people can video chat at once.</p>

<p><strong>3 different play modes</strong></p>

<p>Nintendo Switch 2 can transform according to your gaming style. Just like previous Nintendo Switch consoles, you can enjoy games anytime, anywhere in TV, tabletop, or handheld mode.</p>

<p><strong>Play Nintendo Switch 2 games and compatible Nintendo Switch titles</strong></p>

<p>In addition to Nintendo Switch 2 games, you can also play compatible physical and digital titles that were released for Nintendo Switch on this console. Some Nintendo Switch games may not be fully supported or supported at all on Nintendo Switch 2.</p>

<p>Nintendo Switch Online members can continue to use the service on Nintendo Switch 2.</p>

<p><strong>Package includes:</strong></p>

<ul>
	<li>Nintendo Switch 2 console</li>
	<li>Joy-Con 2 (L) / (R)</li>
	<li>Two Joy-Con 2 straps</li>
	<li>Nintendo Switch 2 dock</li>
	<li>Joy-Con 2 grip</li>
	<li>Power adapter for Nintendo Switch 2</li>
	<li>Ultra High-Speed HDMI™ cable</li>
	<li>Nintendo Switch 2 user manual</li>
</ul>

<p><strong>Nintendo Switch 2 will be available from June 5, 2025. A bundle with Mario Kart World will also be available.</strong></p>",https://com.cqe.cz/gallery/1_64291/nintendo-switch-2-default.jpg
